column,protocol,seed,planned_budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,normalized_rmse
8g,row,536279090,100,100,affine,0.8809755790898718,7.753569749620114,4.219253170442653,0.9621489976376036,6.4998139747087285,4.701439922793956,0.7522349668524,0.6941515888995914
8g,row,536279090,100,100,affine_condition_residual,0.8758763022722489,7.9179182228175975,4.274452058055988,0.9618583945648509,6.52471759917901,4.735737465375757,0.7663067316989274,0.7053547773174078
8g,row,536279090,100,100,target_head_only,0.9485367256208551,5.098381938803356,3.055300893368928,0.9635495041004543,6.378432374550118,4.341355119235274,0.5366857576320957,0.5218927917793914
8g,row,2767143051,30,30,zero_shot,0.29168315053977123,16.31537825302325,10.026245339987936,0.4592168622400512,20.138799160085973,13.515723958775617,1.7112094361633816,1.6616269334998113
8g,row,2767143051,30,30,column_mass_ratio_scaling,0.8317492988278608,7.951733232674176,4.049087481291397,0.8652849939777545,10.051479414599902,6.7139290176612745,0.8394304921616146,0.8171872938345651
8g,row,2767143051,30,30,scale_only,0.8678615984402992,7.0468963693391435,3.968069051887522,0.8875818033373913,9.182063826289026,5.801771130630415,0.7503362508059435,0.7327313666102806
8g,row,2767143051,30,30,affine,0.8506958891631762,7.490645480082126,4.642896467236023,0.871098299750009,9.832214013026073,6.683056820449181,0.7992933058933834,0.7811097564442937
8g,row,2767143051,30,30,affine_condition_residual,0.5831489070820705,12.51623857172916,6.3404551204992545,0.3040106103257416,22.846691085819675,10.309610674236081,1.5070965247855672,1.5047732406112453
8g,row,2767143051,30,30,target_head_only,0.8250624102495423,8.108208906794996,4.228919843037923,0.8561667680597232,10.386078953583706,6.05324953659721,0.8591332631900963,0.8375228564173564
8g,row,2767143051,50,50,zero_shot,0.29168315053977123,16.31537825302325,10.026245339987936,0.4592168622400512,20.138799160085973,13.515723958775617,1.7112094361633816,1.6616269334998113
8g,row,2767143051,50,50,column_mass_ratio_scaling,0.8317492988278608,7.951733232674176,4.049087481291397,0.8652849939777545,10.051479414599902,6.7139290176612745,0.8394304921616146,0.8171872938345651
8g,row,2767143051,50,50,scale_only,0.8649257843077203,7.124749304765456,3.9551453502033724,0.8877036126766953,9.177087922479611,5.718799510689945,0.7561168003209523,0.7375167304682303
8g,row,2767143051,50,50,affine,0.8595622674168626,7.264826801774219,4.112502563844183,0.8794796002802076,9.50719237534468,6.131733505708937,0.7745170262769588,0.7566719516306388
8g,row,2767143051,50,50,affine_condition_residual,0.8624170004238078,7.190610212561496,4.040253345268283,0.8732238469824497,9.750812034900944,6.118226038594157,0.774798989896157,0.7595394562805375
