column,protocol,seed,method,lambda_C,lambda_W,fold_scores,mean_cv_score,rank,selected
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,0.0,"[0.44020068720008626, 0.5365356293962091, 0.519933448106545, 0.3587137536452667, 0.5013042855239387]",0.47133756077440914,12,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,0.1,"[0.44104019053635024, 0.5382516139456606, 0.5187782754776677, 0.35764763348106304, 0.5017760290762809]",0.47149874850340456,13,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,0.1,"[0.45012581015199665, 0.5514976359132115, 0.5269103639049876, 0.3424399269492049, 0.4869366265865619]",0.4715820727011925,14,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,0.01,"[0.44991306675188913, 0.550345447497058, 0.5278525482758158, 0.3433506709637183, 0.48653127696914683]",0.4715986020915256,15,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,10.0,"[0.445463456707417, 0.5440597093339923, 0.5177518591745721, 0.3513516975938033, 0.4995388793794524]",0.47163312043784733,16,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,0.0,"[0.4500707934457049, 0.5500568304409572, 0.5284157705380385, 0.3438600868359816, 0.48654693186881687]",0.4717900826258997,17,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,1.0,"[0.44185701524597837, 0.5404781218202808, 0.5183805246059241, 0.3568013708331987, 0.50173447977088]",0.4718503024552524,18,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,1.0,"[0.4509672216120876, 0.553855979905391, 0.5266522840741404, 0.3418569360834404, 0.4871187614389219]",0.4720902366227963,19,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,100.0,"[0.44613992970046945, 0.5455411336935094, 0.5180165919594643, 0.3513368934565394, 0.49959664145884486]",0.4721262380537654,20,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,10.0,"[0.4432537732228631, 0.544140965499915, 0.5184945284849796, 0.3560958897691911, 0.5014414361847136]",0.47268531863233243,21,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,100.0,"[0.4439167229985948, 0.5456214994636035, 0.5187559654590695, 0.35608557156955256, 0.5014977932158432]",0.47317551054133267,22,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,10.0,"[0.4526721286316726, 0.5576954562307788, 0.5270484122521233, 0.3415831091366741, 0.48713124627941123]",0.47322607050613197,23,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,1.0,100.0,"[0.4534356559653715, 0.5592171024188057, 0.5273951471035928, 0.34171133503770484, 0.4872845373334823]",0.4738087555717915,24,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,10.0,0.01,"[0.460294325853326, 0.5649611338561993, 0.5411422406140955, 0.3377975821762795, 0.4700311363016305]",0.4748452837603062,25,False
