dataset,effective_group_id,canonical_smiles,PE/EA,rows,distinct_loading_conditions,ignored_loading_conditions_differ,V1_range,V2_range
4g,4a0760a5fe1743c2,CC(=O)CCCCl,1/1,3,3,True,1.458333333333334,0.6999999999999993
4g,128a56d84f23d185,CC(=O)CCCCl,10/1,3,3,True,1.6333333333333329,8.866666666666667
4g,b614eaac56090e1b,CC(=O)CCCCl,2/1,3,3,True,1.2333333333333334,1.6833333333333336
4g,e24ded0ff125a2d5,CC(=O)CCCCl,20/1,3,3,True,1.25,0.7583333333333337
4g,52379c690cd5e006,CC(=O)CCCCl,50/1,3,3,True,1.291666666666667,1.5666666666666664
4g,f5d88dd2ff161a57,CC(=O)Oc1ccc(C=O)cc1,0/1,3,3,True,0.35833333333333295,3.333333333333332
4g,b2cc9e765573c696,CC(=O)Oc1ccc(C=O)cc1,1/1,3,3,True,0.9583333333333339,7.458333333333332
4g,83b5169b15bc3039,CC(=O)Oc1ccc(C=O)cc1,10/1,3,3,True,4.850000000000001,5.9750000000000085
4g,2226a8ec4e2fd238,CC(=O)Oc1ccc(C=O)cc1,2/1,3,3,True,0.7249999999999996,10.016666666666666
4g,c5b2bfb1e8bb695d,CC(=O)Oc1ccc(C=O)cc1,5/1,3,3,True,1.2750000000000004,6.108333333333334
4g,007659452f324bdd,CC(=O)c1c(C)cc(C)cc1C,0/1,3,3,True,1.2249999999999996,1.9750000000000023
4g,76f361c4189ce9ab,CC(=O)c1c(C)cc(C)cc1C,1/1,3,3,True,0.37500000000000044,1.0750000000000002
4g,926374d33480a281,CC(=O)c1c(C)cc(C)cc1C,10/1,3,3,True,1.291666666666666,0.45000000000000107
4g,33703a1ad69a190a,CC(=O)c1c(C)cc(C)cc1C,2/1,3,3,True,1.1916666666666664,0.38333333333333286
4g,ba0152854f06d581,CC(=O)c1c(C)cc(C)cc1C,20/1,2,2,True,0.9749999999999996,2.6083333333333343
4g,496d18372db80af2,CC(=O)c1c(C)cc(C)cc1C,5/1,3,3,True,1.1166666666666663,0.6333333333333346
4g,b94b093b2d144460,CC(=O)c1c(C)cc(C)cc1C,50/1,2,2,True,2.1416666666666675,0.6333333333333329
4g,b1ceedf4d2da7bc4,CC(=O)c1ccc(C#N)cc1,0/1,3,3,True,0.3333333333333339,1.3916666666666657
4g,496665f3b2903385,CC(=O)c1ccc(C#N)cc1,1/1,3,3,True,1.1416666666666666,4.366666666666664
4g,b05473281859de6a,CC(=O)c1ccc(C#N)cc1,2/1,3,3,True,1.4000000000000004,0.3000000000000007
4g,8410301aa40b78ff,CC(=O)c1ccc(C#N)cc1,5/1,3,3,True,2.6166666666666654,1.94166666666667
4g,15e9abac685fea6f,CC(=O)c1ccc(C)cc1,0/1,5,3,True,0.20000000000000018,9.037499999999998
4g,b893ea8946110a1f,CC(=O)c1ccc(C)cc1,1/1,4,3,True,1.3125,4.045833333333333
4g,744aaf068fef5a13,CC(=O)c1ccc(C)cc1,10/1,3,2,True,1.3083333333333336,2.962500000000002
4g,5d85c62ea41f4c87,CC(=O)c1ccc(C)cc1,2/1,4,3,True,1.9458333333333329,7.549999999999999
4g,8bb551dc36f13e4a,CC(=O)c1ccc(C)cc1,20/1,4,3,True,5.3833333333333355,8.616666666666664
4g,122e1c3df2e5e136,CC(=O)c1ccc(C)cc1,5/1,5,3,True,1.9416666666666664,9.091666666666663
4g,84da9d199dcc15f0,CC(=O)c1ccc(C)cc1,50/1,2,2,True,2.3916666666666666,8.31666666666667
4g,7f4fcf836bc19054,CC(=O)c1ccc(C)cc1C,0/1,3,3,True,0.40833333333333366,5.850000000000001
4g,c925dcc476b9e419,CC(=O)c1ccc(C)cc1C,1/1,3,3,True,0.4583333333333339,5.083333333333332
4g,0c11036a3f3825f8,CC(=O)c1ccc(C)cc1C,10/1,3,3,True,2.466666666666667,5.05833333333333
4g,208cb99e17813ad4,CC(=O)c1ccc(C)cc1C,2/1,3,3,True,1.1166666666666671,0.9249999999999989
4g,bdf27da43b3656d5,CC(=O)c1ccc(C)cc1C,20/1,3,3,True,1.8083333333333336,1.5250000000000021
4g,9fcd3986de76865b,CC(=O)c1ccc(C)cc1C,5/1,3,3,True,1.0333333333333332,1.2750000000000004
4g,8feba5a0eb17f8be,CC(=O)c1ccc(C)cc1C,50/1,3,3,True,3.8916666666666675,12.283333333333331
4g,f92858d791778fb6,CC(=O)c1ccc(F)cc1,0/1,3,3,True,0.40000000000000036,3.5999999999999996
4g,cc141c5afa4dbf5e,CC(=O)c1ccc(F)cc1,1/1,3,3,True,0.9666666666666668,0.5666666666666629
4g,204a20267e97e5c3,CC(=O)c1ccc(F)cc1,10/1,3,3,True,3.2416666666666654,0.10833333333333428
4g,59e5cf1a6c776360,CC(=O)c1ccc(F)cc1,2/1,3,3,True,1.2333333333333334,0.7999999999999989
4g,af8f021d5bdbad38,CC(=O)c1ccc(F)cc1,20/1,3,3,True,3.241666666666667,1.31666666666667
4g,1d94a769811c78d0,CC(=O)c1ccc(F)cc1,5/1,3,3,True,1.2749999999999995,1.0999999999999979
