outer_seed,strategy,round,member_seed,init_source_sha256,expected_source_sha256,source_reset_pass,checkpoint_sha256
42,pretrained_hybrid,5,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,542266c6865002d9acdc6054cb2ef93bcf1eb7044bc1eb3368855b8d1030434e
42,pretrained_hybrid,6,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,49d701fa465acb9daa839ed840fe66271344535f761e3a2a35df0bab98bf331d
42,pretrained_hybrid,6,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,5bbd13d14d5ce1823740c0add7c161a408519e1ceaf90c42a6962a57ccf674ed
42,pretrained_hybrid,6,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,e350797a5f73ae469f0fe558a82048380e6d138754188bc0464a68c268f90a5e
42,pretrained_hybrid,7,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,88fbcbf5fc77d0fd3d2718c3185ae1d020e48e370689e4702e1763bee00b3c1f
42,pretrained_hybrid,7,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,1129ed971553259224310ff1df6185cdf7db10a4dd68b00f4fa749c51d5a2143
42,pretrained_hybrid,7,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,337a3c967ef30eb5b454f34be9e1af9b4c45e44cb23629f7254d33042baadab6
42,pretrained_quantile_width,1,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,bb6e3b0a196674086f35be5b71b020ee600a901f7c03fe6abb3587fe347233ec
42,pretrained_quantile_width,1,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,92bbaf2b02ad3e962cd04d13869e03f9b571ec1608ca1cd96d6c30c0de573ba2
42,pretrained_quantile_width,1,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,d60c73cc44ef3b364a4c88e8420e9f8c5e268bdbd2b11a147c1d18cbae1020e3
42,pretrained_quantile_width,2,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,bd17726655022a8db56cf77eb642286df2098e9986a5fc710d0f408e9c31dfd4
