column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,Center_rmse,Width_rmse,Var_eC,Var_eW,Cov_eC_eW
40g,compound,1362771960,HIER_CW_8G_25G_40G,14.710346046024505,9.950257804927793,0.7221680807112008,21.07428904500698,14.81264281973756,0.6978810659704189,1.6130124367917034,1.6130124367917034,1.588875312904772,1.588875312904772,True,17.25960766431923,11.378209533475466,297.1870126522646,114.36867800485511,110.59876197641046
40g,compound,1362771960,M3_LATENT_RESIDUAL_RIDGE,14.655665181778174,10.168443512008263,0.7242297390326511,20.22967502114673,13.801526050956214,0.721612397218213,1.5878880551653258,1.5878880551653258,1.5591369888525284,1.5591369888525284,True,16.81059306693224,10.847690524495277,282.36481069016025,109.94969093611101,98.5619188560772
40g,compound,1362771960,M3_LATENT_TINY_ADAPTER,14.083363257888694,9.879892626731637,0.7453468085064271,19.56420335803167,13.582512034505815,0.739626718936232,1.5289563076970818,1.5289563076970818,1.5021248241658576,1.5021248241658576,True,16.041648121014816,11.526510730585429,256.8574462128484,112.28843200024902,89.07582623924706
40g,row,769539383,M3_CENTER_WIDTH_FULL,16.514392801854296,9.734507884465303,0.4985930189580682,16.96343174528469,12.19829727824483,0.7283788422308894,1.659196657104356,1.659196657104356,1.5754973205051939,1.5754973205051939,True,16.082620801262326,9.293202087168652,255.7290291890749,86.3013464852583,7.089927909030699
40g,row,769539383,HIER_CW_25G_40G,16.306957425092893,9.745176385334682,0.5111101391850226,16.903413706910378,12.18019331147606,0.7302974787540548,1.641394007387614,1.641394007387614,1.5604679700398016,1.5604679700398016,True,15.97158226918898,9.10597331951002,251.45287127423924,82.8751988739385,9.506191719715892
40g,row,769539383,HIER_CW_8G_25G_40G,16.32460829152941,9.770255506565238,0.5100512046872354,17.052519431057114,12.189734039351855,0.7255183783941506,1.6457847399890626,1.6457847399890626,1.566225375981846,1.566225375981846,True,16.066016162432277,9.060629575849697,253.79994270592775,81.55259201837147,10.617571099220822
40g,row,769539383,M3_LATENT_RESIDUAL_RIDGE,16.117362361044357,9.277052186529193,0.5224123409617357,17.117479189120463,11.829725689478591,0.7234231782047515,1.6305697744235061,1.6305697744235061,1.555095015985492,1.555095015985492,True,16.04629442523605,8.696014455422514,253.86392131087692,75.61603421133596,16.7488632118704
40g,row,769539383,M3_LATENT_TINY_ADAPTER,15.800929884699965,8.975325786901083,0.5409812270735062,16.565756843206206,11.07337821114128,0.7409648324826801,1.5941992580456785,1.5941992580456785,1.5178566740530945,1.5178566740530945,True,15.576668672112136,8.812317648373575,241.86041439335955,77.57576227743847,12.62783027420777
40g,row,1425370602,M3_CENTER_WIDTH_FULL,16.4932718305945,10.01463881836257,0.6096820221956293,20.539739250889063,14.492460252683985,0.7285339949856826,1.7340100046404887,1.7340100046404887,1.6853848348890328,1.6853848348890328,True,17.877769254064514,10.457498474228528,313.74560450653365,109.20822069381548,75.86799799441201
40g,row,1425370602,HIER_CW_25G_40G,16.490194700347615,10.029215192714481,0.6098276509377779,20.474723434348064,14.457625200740823,0.7302498541849582,1.7322859578113214,1.7322859578113214,1.683167502045762,1.683167502045762,True,17.83953717038728,10.45396078633889,312.941914431279,108.9938784641676,74.88751443046033
