outer_seed,strategy,selection_origin,query_rank,sample_id,canonical_smiles
1101,pretrained_coverage,historical_E4_round1,8,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
1101,pretrained_coverage,historical_E4_round1,9,23a832560d234735d954,O=Cc1ccc2ccccc2c1Br
1101,pretrained_coverage,historical_E4_round1,10,f95928e2618ed15e654f,COc1ccc(C=O)cc1
1101,pretrained_ensemble,historical_E4_round1,1,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
1101,pretrained_ensemble,historical_E4_round1,2,99dd4a9a47de5c84b7c0,O=Cc1ccc(Br)cc1O
1101,pretrained_ensemble,historical_E4_round1,3,f95928e2618ed15e654f,COc1ccc(C=O)cc1
1101,pretrained_ensemble,historical_E4_round1,4,3545611fd9950a160288,C/C(=N\O)c1ccccc1
1101,pretrained_ensemble,historical_E4_round1,5,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
1101,pretrained_ensemble,historical_E4_round1,6,27b234a05f8c66fd059f,O=Cc1cc(Br)ccc1O
1101,pretrained_ensemble,historical_E4_round1,7,80e66bd0e8e9450537bb,COCCCCC(=O)c1ccc(C(F)(F)F)cc1
1101,pretrained_ensemble,historical_E4_round1,8,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
1101,pretrained_ensemble,historical_E4_round1,9,9c7a6ce4172638d2abc7,CCOC(=O)CC(C)=O
1101,pretrained_ensemble,historical_E4_round1,10,4e6d2ab0e823ac1d4b58,CC(=O)CC(=O)OC(C)(C)C
1101,pretrained_hybrid,historical_E4_round1,1,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
1101,pretrained_hybrid,historical_E4_round1,2,546046afb5114d631360,CC(=O)c1ccc2c(c1)Cc1ccccc1-2
1101,pretrained_hybrid,historical_E4_round1,3,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
1101,pretrained_hybrid,historical_E4_round1,4,d31d42caff135d7154c4,CCOC(=O)/C=C(/C)N
1101,pretrained_hybrid,historical_E4_round1,5,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
1101,pretrained_hybrid,historical_E4_round1,6,fb1fdaa4bc60434648f7,O=Cc1ccc2ccccc2c1Br
1101,pretrained_hybrid,historical_E4_round1,7,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
1101,pretrained_hybrid,historical_E4_round1,8,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
1101,pretrained_hybrid,historical_E4_round1,9,3b03dfa8ff44ff554734,O=Cc1cc(Br)ccc1O
1101,pretrained_hybrid,historical_E4_round1,10,f95928e2618ed15e654f,COc1ccc(C=O)cc1
1101,pretrained_quantile_width,historical_E4_round1,1,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
1101,pretrained_quantile_width,historical_E4_round1,2,d31d42caff135d7154c4,CCOC(=O)/C=C(/C)N
1101,pretrained_quantile_width,historical_E4_round1,3,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
1101,pretrained_quantile_width,historical_E4_round1,4,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
1101,pretrained_quantile_width,historical_E4_round1,5,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
1101,pretrained_quantile_width,historical_E4_round1,6,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
1101,pretrained_quantile_width,historical_E4_round1,7,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
1101,pretrained_quantile_width,historical_E4_round1,8,10d51839b15b94f0ae56,CCOC(=O)/C=C(/C)N
1101,pretrained_quantile_width,historical_E4_round1,9,e6886d2fb3090517172b,CCOC(=O)/C=C(/C)N
1101,pretrained_quantile_width,historical_E4_round1,10,f95928e2618ed15e654f,COc1ccc(C=O)cc1
