outer_seed,method,round,active_label_count,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
157,lcmd,4,461,5.1530311779681774,7.838256538664525,2.5062029115873563,3.913694386287845,0.5203026869553293,0.7309935650953753
157,lcmd,5,493,4.612469610591266,6.698955264179862,2.269040860718103,3.479671268440265,0.6156660218615866,0.8035111652247507
157,lcmd,6,525,4.474627284267899,6.486290504216401,2.1537446315340003,3.2589592190383434,0.6382941952806636,0.8157885956463907
157,lcmd,7,557,4.497754100871712,6.715793158940434,2.1511096668472107,3.351327610244568,0.6345456278484681,0.8025221703402077
157,lcmd,8,589,4.516221508194042,6.62929157075266,2.1455949956564595,3.2095012344616496,0.6315384158024397,0.8075765648736559
157,lcmd,9,621,4.32800365946241,5.982473323204747,2.048161452908596,2.9592261828964563,0.6616104178111644,0.8432941305165582
157,lcmd,10,653,4.223722405076378,5.941089765526139,1.9848759683201924,2.820596468534401,0.6777206490061469,0.8454546470769293
157,lcmd,11,685,4.1603785927655155,5.662185958739096,1.9016582113947513,2.6482790116783526,0.6873147093228624,0.8596242857690819
157,lcmd,12,717,4.053125027992642,5.19662202969875,1.8816576890236467,2.5885124503851507,0.7032288038799224,0.881759574970496
157,lcmd,13,749,4.0466011556443116,5.1279831732390555,1.8465226805753274,2.59718125501125,0.7041833953245997,0.8848624709407832
157,lcmd,14,781,4.106223042936515,5.185595590845007,1.8724189999578096,2.5726852920129715,0.695402161483327,0.8822608188969688
157,lcmd,15,813,4.0543888031564705,5.045618632580055,1.8088751971292838,2.4756753816307304,0.7030437069310143,0.8885313951309719
157,lcmd,16,845,3.9898825547797125,5.274725494271924,1.80341035742268,2.5487101918501818,0.7124178211805533,0.878178638680535
157,lcmd,17,877,3.9869659679561935,5.182486238341344,1.7548969403731165,2.4506791741442053,0.712838110157755,0.8824019725423368
157,lcmd,18,909,4.1308130493438515,5.296507590293195,1.820719529684785,2.4590153248190023,0.6917430861032567,0.877170433234796
157,lcmd,19,941,3.8558649301663945,5.149526914656733,1.7025637523733455,2.478878445476651,0.7314127638842192,0.8838930045413755
157,lcmd,20,973,3.9964051481154343,5.0845257234149335,1.73303776907978,2.4438007215230013,0.7114767835307092,0.8868056839413054
157,lcmd,21,1005,3.865644157330145,5.34915583550715,1.7118518861363545,2.532809760644853,0.7300486567915425,0.874716400486379
887,random,0,333,4.3099071126750665,8.940529207473261,2.2923749225030985,4.6896172518924555,0.5532487932579229,0.5506797772836323
887,random,1,365,4.421977013540539,8.619150388185384,2.2819096086551247,4.513724745606347,0.5297131070419703,0.5824019810882468
887,random,2,397,4.666179833870578,8.866947522693536,2.468241087538447,4.367422980942028,0.47633583153697134,0.5580452669732917
887,random,3,429,4.6026568696485475,9.018984981149199,2.3732900413677847,4.803491651868934,0.49049656994941737,0.5427593427799169
887,random,4,461,4.632439537060546,9.043431521316203,2.7268199794869914,4.55111901308421,0.48388149241623135,0.5402772228083328
887,random,5,493,4.94352757457814,9.469379159026552,2.8288404072503104,4.411704895879439,0.4122348454084178,0.495951269283459
887,random,6,525,4.802192822365413,10.139624792087126,2.2743732151653555,4.664632166032311,0.44536266274530056,0.422072604131395
887,random,7,557,4.229248478728197,8.553978302480393,2.2724925162409133,4.403867420818594,0.5698139558482653,0.5886932834392604
887,random,8,589,4.329944004203701,8.538051513703378,2.1832967387686533,4.189404212027717,0.5490852170377538,0.5902234946347338
887,random,9,621,4.3137592938480305,8.231123852395827,2.179556094771095,3.89964086889363,0.55244982676523,0.6191554142341288
887,random,10,653,4.1691266993283955,8.106318492684043,2.090892575055861,3.994044160957245,0.5819578231008451,0.6306170556500172
887,random,11,685,3.627032371388246,6.286442310712819,1.8949555121451545,3.233487109772021,0.6836026939922324,0.7778535477304998
887,random,12,717,3.9902642212999155,7.712709363336595,1.980232015216379,3.7135246914925335,0.6170578054329978,0.6656175732233967
887,random,13,749,4.077958745987424,6.90118618829688,2.5102752793035346,3.7539378184494643,0.6000409118217804,0.7322823514371763
887,random,14,781,3.6125784054219174,6.697062494609379,1.871096223378353,3.558996548183816,0.6861193981074303,0.7478852724712011
887,random,15,813,3.6358724711695323,6.351600899497295,1.88391859754384,3.354082898842059,0.6820585157287838,0.7732246134116834
887,random,16,845,3.40768975922863,5.9104516152907705,1.7266159846628313,3.3847050003582337,0.7207134560402181,0.8036319417410362
887,random,17,877,3.474967526454226,5.652262676455098,1.7315901126221216,2.8562925725246218,0.7095767276374556,0.8204132934682187
887,random,18,909,3.551714577948439,5.610994978644007,1.7341014395514838,2.9394626720346135,0.6966066696092509,0.8230260790667407
887,random,19,941,3.391429484272681,6.112080566718633,1.7193062522714373,3.2470418097589797,0.723372407790617,0.7900056289873053
887,random,20,973,3.4414184880239236,5.433770843351955,1.659183446737788,2.8188349508838972,0.7151574345476721,0.8340290227736331
887,random,21,1005,3.3684100441968736,5.20974571202419,1.6515265305836995,2.8414598677655776,0.7271149012985052,0.8474323121313359
887,hybrid,0,333,4.3099071126750665,8.940529207473261,2.2923749225030985,4.6896172518924555,0.5532487932579229,0.5506797772836323
887,hybrid,1,365,4.303527092675876,8.105987385095512,2.298930193880479,4.570959538292827,0.5545704792720003,0.6306472303830324
