outer_seed,strategy,round,query_rank,sample_id,canonical_smiles
42,ensemble,4,23,129036e0bccc4ff7e848,CC(Br)C(=O)O
42,ensemble,4,24,2d178efe0181baca2bd5,COc1ccc(C=O)cc1
42,ensemble,4,25,13bfaf03c35b4cff3bd5,OCc1ccc2ccccc2c1
42,ensemble,5,1,2b266fc41757f88e8b09,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
42,ensemble,5,2,6757824312738e94bd8e,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
42,ensemble,5,3,96840797cfdea44e1467,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
42,ensemble,5,4,2b97a1e0a6a4b944b760,CCOC(=O)C(Cc1ccccc1)C(C)=O
42,ensemble,5,5,61771d230b285babe4b6,CCOC(=O)C(Cc1ccccc1)C(C)=O
42,ensemble,5,6,eb3bc3fba39e57adbc2f,CCOC(=O)C(Cc1ccccc1)C(C)=O
42,ensemble,5,7,6a11b71a3fb682d5f6da,c1ccc(CNCc2ccccc2)cc1
