column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse
40g,compound,769539383,100,93,additive_EA_control,0.8591406278643912,25.798788401711924,17.525459295894336,0.8580899142847145,37.63896162331629,26.090076336652828,2.846149259957228,True,2.8076696198930033
40g,compound,769539383,100,93,conditional_policy,0.8567674781235594,26.01520519011221,18.17372420732516,0.8941795323309938,32.50243068432172,20.12102458792006,2.737493371798201,True,2.6616495648612304
40g,compound,769539383,100,93,additive_policy,0.8567674781235594,26.01520519011221,18.17372420732516,0.8941795323309938,32.50243068432172,20.12102458792006,2.737493371798201,True,2.6616495648612304
40g,compound,1362771960,30,28,scale_only,0.4233243712801076,47.19179406179576,39.359739626371216,0.6778194832893671,47.33740011713539,33.52072908970037,4.719058641289379,True,4.466786410854774
40g,compound,1362771960,30,28,affine,-3.5596736837576364,132.69897573010704,74.7225685295304,0.4748933989243944,60.43360529962701,36.97801690172416,12.201233612630789,True,10.29991250151607
40g,compound,1362771960,30,28,local_identity_shrinkage,0.6467104797428022,36.937378236049085,26.10845129125803,0.6176415446152148,51.56916674976172,37.018609831546065,4.016464278003869,True,3.9477107054172853
40g,compound,1362771960,30,28,target_head_only,-0.26001550166531096,69.75713464765705,46.69421851376146,-0.3829946908359254,98.07651407627141,69.67936149541285,7.602292741726094,True,7.476710629610308
40g,compound,1362771960,30,28,conditional_EA,0.6941822354612737,34.36624198298861,22.432548653751173,0.6280164565558042,50.8647165252281,35.86607671628691,3.809990604967591,True,3.762651180106383
40g,compound,1362771960,30,28,additive_EA_control,0.7112957496409293,33.390834876123805,22.217035095643592,0.6217185613342577,51.293493726341886,36.71686505323062,3.7508057037426332,True,3.7140927072049155
40g,compound,1362771960,30,28,conditional_policy,0.6467104859003967,36.93737791415248,26.108451178062612,0.6176415545110654,51.5691660824288,37.018609347178874,4.016464237588729,True,3.9477106642365825
40g,compound,1362771960,30,28,additive_policy,0.6467104859003967,36.93737791415248,26.108451178062612,0.6176415545110654,51.5691660824288,37.018609347178874,4.016464237588729,True,3.9477106642365825
40g,compound,1362771960,50,49,scale_only,0.6418499345242805,37.19060184832266,26.496592761539915,0.692378931632196,46.25543856051964,28.463585279739625,3.9086477038796845,True,3.7985151487930064
40g,compound,1362771960,50,49,affine,-0.8836547926096852,85.29063475011345,49.5526570076214,0.7013908376366684,45.572864746572606,24.16618255120932,7.911955756899346,True,6.82945084137642
40g,compound,1362771960,50,49,local_identity_shrinkage,-0.8836547078995654,85.29063283230452,49.55265602156005,0.7013908382589613,45.57286469908634,24.166182523056374,7.911955589884095,True,6.8294507182058855
40g,compound,1362771960,50,49,target_head_only,-0.27640061880363764,70.2092270982394,47.04947343119266,-0.3876956345233771,98.24305883819318,69.63276794495413,7.639874379715466,True,7.510577695115072
40g,compound,1362771960,50,49,conditional_EA,0.7330049273900892,32.11088774548081,17.879739274500075,0.681113293531894,47.09480168509023,30.452303193095048,3.5488329389402318,True,3.5022895831822867
40g,compound,1362771960,50,49,additive_EA_control,-0.6624849122082179,80.12712223953166,46.45816349677696,0.6945842060938776,46.08934231224697,24.29522756751121,7.470763517210285,True,6.517865734160195
40g,compound,1362771960,50,49,conditional_policy,-0.8836547344950947,85.29063343441847,49.55265615778367,0.7013908481197628,45.57286394662287,24.166182513410725,7.911955633769123,True,6.829450733010162
40g,compound,1362771960,50,49,additive_policy,-0.8836547344950947,85.29063343441847,49.55265615778367,0.7013908481197628,45.57286394662287,24.166182513410725,7.911955633769123,True,6.829450733010162
40g,compound,1362771960,70,72,scale_only,0.658155762491054,36.33413460454237,22.445971114672233,0.6947057978719775,46.08016688144242,28.83906835374805,3.8391550183162915,True,3.7387172556716917
40g,compound,1362771960,70,72,affine,0.6626328624026776,36.09541814707029,20.577335317890334,0.709068884804599,44.98314861129179,24.54059567574061,3.7956045464685824,True,3.6894509462196563
40g,compound,1362771960,70,72,local_identity_shrinkage,0.6626328628142866,36.095418125050955,20.57733529035505,0.7090688862801899,44.98314849721542,24.5405955175213,3.795604542166821,True,3.689450941274509
40g,compound,1362771960,70,72,target_head_only,-0.2558234866955713,69.64099854566366,46.64881258715597,-0.37467866111436354,97.78119950083789,69.61363664220183,7.586342272312727,True,7.46015660789697
40g,compound,1362771960,70,72,conditional_EA,0.7066121897733153,33.660589839276355,18.06880662154939,0.7017775936711703,45.54334239177458,28.265519292462166,3.624496660436484,True,3.5523728217925132
40g,compound,1362771960,70,72,additive_EA_control,0.6988671011843028,34.10199540118964,18.81166806779953,0.6966880966297142,45.93032221152981,28.685234375039684,3.66692340805319,True,3.5924175679938593
40g,compound,1362771960,70,72,conditional_policy,0.6626328672075907,36.095417890027846,20.57733510940086,0.7090688872495545,44.98314842227488,24.54059580410632,3.795604522450106,True,3.689450924030483
40g,compound,1362771960,70,72,additive_policy,0.6626328672075907,36.095417890027846,20.57733510940086,0.7090688872495545,44.98314842227488,24.54059580410632,3.795604522450106,True,3.689450924030483
40g,compound,1362771960,100,100,scale_only,0.6641765209532711,36.01274429134249,23.33526181230811,0.6931088568739661,46.20052836788635,30.779312901891508,3.8175063561779097,True,3.7220669829764477
40g,compound,1362771960,100,100,affine,0.6683734901094194,35.787001313204506,20.674358792306478,0.7103950517454563,44.88050695629674,24.018094784554233,3.7696469138750186,True,3.6666882166629184
40g,compound,1362771960,100,100,local_identity_shrinkage,0.6683734898215784,35.78700132873547,20.674358749526135,0.710395051012564,44.880507013085435,24.01809474415318,3.7696469163703603,True,3.6666882194146293
40g,compound,1362771960,100,100,target_head_only,-0.25118407610161797,69.51224154098828,46.5994057798165,-0.3714527604579436,97.66640259773567,69.5519790183486,7.573961906518123,True,7.448416063223705
40g,compound,1362771960,100,100,conditional_EA,0.7202182868174781,32.87080588153059,17.79690357125187,0.6955049263951281,46.019818364568614,29.17645351630496,3.577461573701967,True,3.517076469927245
40g,compound,1362771960,100,100,additive_EA_control,0.7132548447300379,33.277349927989206,18.720586546497163,0.6890644664195285,46.503960690841694,29.86082020612263,3.619592695508971,True,3.5579309734877773
40g,compound,1362771960,100,100,conditional_policy,0.6683734955999828,35.78700101695134,20.674358456848754,0.7103950569076333,44.88050655630163,24.018094844832536,3.769646882013405,True,3.666688185423957
40g,compound,1362771960,100,100,additive_policy,0.6683734955999828,35.78700101695134,20.674358456848754,0.7103950569076333,44.88050655630163,24.018094844832536,3.769646882013405,True,3.666688185423957
40g,compound,1425370602,30,29,scale_only,0.572522775896801,45.20076786228826,37.34688245260572,0.7405492749356092,49.730643295475296,39.707519468001585,4.608420821995493,True,4.414879716929253
