mode,seed,split,left,right,left_bin,right_bin,n,mean_combined_error,mean_V1_abs_error,mean_V2_abs_error,mean_V1_width,mean_V2_width
compound,525,test,ea_fraction,V1_q50,"(0.333, 0.5]","(4.724, 5.346]",10,0.14337718348262318,0.6517569199999999,2.6082282,3.2313222699999997,3.1878234500000007
compound,525,test,ea_fraction,V1_q50,"(0.333, 0.5]","(5.346, 6.172]",16,0.13389853258587134,0.80856864375,2.3052071124999998,3.20433603125,4.045508725
compound,525,test,ea_fraction,V1_q50,"(0.333, 0.5]","(6.172, 9.189]",15,0.41503031953618336,2.45397772,7.626237000000001,5.826805459999999,6.6837112
compound,525,test,ea_fraction,V1_q50,"(0.5, 1.0]","(0.598, 4.724]",42,0.1265083265158237,0.9848973166666668,1.6655274404761908,3.1729331857142853,4.723611011904762
compound,525,test,ea_fraction,V1_q50,"(0.5, 1.0]","(4.724, 5.346]",15,0.14451752111372096,0.6008917333333332,2.7701733,4.23280376,6.124255026666666
compound,525,test,ea_fraction,V1_q50,"(0.5, 1.0]","(5.346, 6.172]",8,0.16954170299612598,0.8996128124999998,3.2423289375,3.3733807125,5.875462062499999
compound,525,train,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(0.598, 4.724]",134,0.15026960732531094,1.2160876246268657,1.7722665328358207,3.5275224447761193,4.770057309701492
compound,525,train,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(4.724, 5.346]",169,0.13415924903854337,1.1138449911242603,1.4372897147928994,3.025491803550296,4.6702570005917154
compound,525,train,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(5.346, 6.172]",144,0.21553766927170945,1.7264182465277775,2.6825721805555554,4.151923331944444,6.192620859027778
compound,525,train,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(6.172, 9.189]",138,0.5377710364753343,4.428920037681159,6.760139080434782,5.306572668115942,9.452012771739131
compound,525,train,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(9.189, 63.756]",222,1.2391472180918983,10.545590916036033,16.570592117117116,8.97580341036036,13.845637423423423
compound,525,train,ea_fraction,V1_q50,"(0.0476, 0.167]","(0.598, 4.724]",180,0.11573889523963071,0.9369153894444444,1.3778253005555556,3.5244182711111103,4.419385801666667
compound,525,train,ea_fraction,V1_q50,"(0.0476, 0.167]","(4.724, 5.346]",186,0.11072192592174034,0.80323585,1.407791301075269,3.1405757865591393,4.369340013440859
compound,525,train,ea_fraction,V1_q50,"(0.0476, 0.167]","(5.346, 6.172]",185,0.12756380665580758,0.991156861081081,1.6514190145945946,3.2504371772972975,4.992557515675676
compound,525,train,ea_fraction,V1_q50,"(0.0476, 0.167]","(6.172, 9.189]",245,0.24051366432703164,2.125041259183673,2.593920684081632,4.554195066530612,7.065831891428572
compound,525,train,ea_fraction,V1_q50,"(0.0476, 0.167]","(9.189, 63.756]",188,0.6638395167309669,5.768227904787235,8.175341143617022,9.898387794680852,13.774542473404255
compound,525,train,ea_fraction,V1_q50,"(0.167, 0.333]","(0.598, 4.724]",91,0.10965145016561186,1.02669709010989,0.9269450175824177,3.575473306483516,4.3067541615384615
compound,525,train,ea_fraction,V1_q50,"(0.167, 0.333]","(4.724, 5.346]",148,0.10911422284118719,0.8273265905405406,1.4288852493243245,3.812141937162162,4.368929222972973
compound,525,train,ea_fraction,V1_q50,"(0.167, 0.333]","(5.346, 6.172]",137,0.12405429136585322,0.9780857751824816,1.5979294051094888,3.501852084671533,4.652709001459854
compound,525,train,ea_fraction,V1_q50,"(0.167, 0.333]","(6.172, 9.189]",94,0.26987359629194524,2.0635208117021278,3.5836418670212775,5.0380205968085106,6.504048211702126
